video_id,canal_id,categoria_id,titulo,tags,duracao_segundos,idioma_padrao,view_count,like_count,data_publicacao
wXnBvfuSJwU,UCXZ-bUSVDTo-zhXuKXd0WsQ,19,CONHEÇA UM CRUZEIRO DA MSC!,MSC Cruzeiros|MSC Seaview,1081,pt-PT,61,9,2026-02-28T20:25:48Z
2zajmVK9DqU,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: NOVORIZONTINO X CORINTHIANS | PAULISTÃO 2026 | SEMIFINAL,assistir corinthians|assistir paulistão 2026|casimiro|casimiro ao vivo|casimiro jogos|caze tv ao vivo|cazetv|cazé ao vivo|cazé tv|cazétv|cazétv ao vivo|corinthians ao vivo|corinthians novorizontino|jogo corinthians|jogo novorizontino|novorizontino ao vivo|novorizontino corinthians|novorizontino x corinthians|paulistao 2026|paulistão 2026|corinthians cazetv|futebol ao vivo|corinthians paulistao|paulistao|semifinal paulistao,21520,pt-BR,11758666,416071,2026-03-01T04:16:31Z
I5wQa_XFiNY,UChXD5FUP9ddvbdjRTvR0eVg,17,bem-vindo ao Corinthians Jesse lingard #futebol #corinthians #futebolbrasileiro #loucosporfutebol,,62,pt-PT,1357,93,2026-02-27T22:26:22Z
AE3q5yvGdAI,UC6kDHa_gPuY6S1b15fLfL3A,17,Esse foi um jogão! #corinthians #futebolbrasileiro #grêmio,,51,pt-PT,178756,7762,2026-02-19T12:26:44Z
TYitKN4AKSw,UCE2I0QRDRkmg0xx3lNDuxlg,22,Meant to do that all along...😏 #rocketleague,,36,en,3628088,145586,2026-02-03T04:01:01Z
kRn_sHXGuUs,UCyQAD2xeFqFA0Qugk5oPSaA,17,Novorizontino x Corinthians - 2020 | O Timão de Tiago Nunes praticava o futebol arte 💀,,92,pt-PT,56886,3059,2026-02-26T20:31:47Z
YIB3WOl7y5M,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: PORTUGUESA X CORINTHIANS | PAULISTÃO 2026 | QUARTAS DE FINAL,assistir corinthians|assistir paulistão 2026|casimiro|casimiro ao vivo|casimiro jogos|caze tv ao vivo|cazetv|cazé ao vivo|cazé tv|cazétv|cazétv ao vivo|corinthians ao vivo|corinthians portuguesa|jogo corinthians|jogo portuguesa|paulistao 2026|paulistão 2026|paulistão 2026 ao vivo|portuguesa ao vivo|portuguesa corinthians|portuguesa x corinthians|futebol ao vivo|corintians|corinthians paulistao|corinthians cazetv|corinthians casimiro,23370,pt-BR,14091713,495063,2026-02-23T07:28:00Z
UcQktXxDj0M,UCXmU7SB2oSVJIdExIa2jq6Q,22,TIMES DO BRASILEIRÃO 2020. #futebol #brasileirao #quiz,,135,pt-PT,470618,31738,2026-02-05T15:08:06Z
CKKNWPIb6us,UC8K22Z5eFVAEAAKBkNQpBsA,20,BRUXA SOMBRIA VS BRUXA NORMAL… QUEM GANHA? 🧙‍♀️ #clashroyale,,50,pt-BR,469538,23719,2026-02-12T23:30:07Z
pinzREiZJgE,UCyQAD2xeFqFA0Qugk5oPSaA,17,Todos os Gols de Yuri Alberto contra os clubes grandes do Rio de Janeiro pelo Corinthians! ⚽️9️⃣,,71,pt-PT,566371,34159,2026-02-02T18:00:33Z
mRsLcC-fRgU,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: ATHLETICO PARANAENSE X CORINTHIANS | BRASILEIRÃO 2026 | 2ª RODADA,assistir brasileirão 2026|brasileirao 2026|brasileirão 2026|brasileirão 2026 ao vivo|casimiro|casimiro ao vivo|casimiro jogos|caze tv ao vivo|cazetv|cazé ao vivo|cazé tv|cazétv|cazétv ao vivo|assistir futebol|futebol ao vivo|jogo ao vivo|jogo corinthians|corinthians ao vivo|assistir corinthians|corinthians cazetv|atletico|athtletico|corinthians athletico|corinthians atletico|jogo atletico|corinthians cazerv,25655,pt-BR,8680401,430778,2026-02-20T04:01:22Z
